,Idealista,Casa adosada en Calvià,2.000,4,140
,Idealista,Casa o chalet en Sineu,1.200,4,190
,Idealista,Apartamento en Carrer Pina, Palma de Mallorca,850,1,60
,Idealista,Piso en Palma de Mallorca,1.250,2,105
,Idealista,Ático en Palma de Mallorca,1.100,2,70
,Idealista,Piso en Palma de Mallorca,1.200,1,119
,Idealista,Apartamento en Palma de Mallorca,1.600,3,103
,Idealista,Ático en Palma de Mallorca,1.100,2,75
,Idealista,Piso en Palma de Mallorca,1.100,3,150
,Idealista,Piso en Marratxí,880,2,92
,Idealista,Apartamento en Carrer Jardí Botànic, 8, Palma de Mallorca,1.390,2,65
,Idealista,Casa o chalet en 4, S/n, Pollença,1.500,2,100
,Idealista,Piso en Calle Carrer Vallseca, Palma de Mallorca,1.200,2,95
,Idealista,Apartamento en Avinguda Amèrica, Calvià,1.500,2,50
,Idealista,Piso en Palma de Mallorca,1.100,3,100
,Idealista,Apartamento en Calvià,1.450,2,67
,Idealista,Piso en Calvià,2.000,3,110
,Idealista,Piso en Margalida Caimari, Palma de Mallorca,1.150,2,64
,Idealista,Finca rústica en Ma14, Santanyí,1.500,3,175
,Idealista,Piso en Palma de Mallorca,3.000,4,230
,Idealista,Piso en Argenteria, Palma de Mallorca,1.000,2,70
,Idealista,Piso en Avinguda Joan March, Palma de Mallorca,1.500,3,170
,Idealista,Piso en Carrer Rafael Ramis I Togores, Palma de Mallorca,1.000,3,90
,Idealista,Casa adosada en Lloc Poligon 15, 113, Artà,2.000,4,220
,Idealista,Apartamento en Passeig Illetes, 17, Calvià,1.800,2,78
,Idealista,Piso en Passeig Mallorca, Palma de Mallorca,1.700,4,170
,Idealista,Piso en Carrer de Francesc de Borja Moll, Palma de Mallorca,1.600,2,75
,Idealista,Piso en Carrer de L'illa de Xipre, Palma de Mallorca,3.200,2,110
,Idealista,Piso en Via de la Mediterrània, Llucmajor,1.450,2,120
,Idealista,Piso en Torrent, Palma de Mallorca,2.000,4,219
,Idealista,Piso en Palma de Mallorca,1.800,4,160
